x,y,parameter
543.0,209.0,1.6672146901230001E9
550.0,210.0,1.667214690132E9
553.0,211.0,1.667214690138E9
561.0,215.0,1.667214690154E9
563.0,217.0,1.667214690155E9
567.0,221.0,1.667214690161E9
571.0,225.0,1.667214690168E9
573.0,229.0,1.667214690175E9
575.0,233.0,1.667214690184E9
579.0,239.0,1.66721469019E9
581.0,245.0,1.667214690198E9
585.0,253.0,1.667214690206E9
585.0,255.0,1.667214690214E9
586.0,260.0,1.66721469022E9
588.0,268.0,1.667214690231E9
589.0,275.0,1.667214690236E9
589.0,283.0,1.667214690243E9
589.0,289.0,1.66721469025E9
589.0,294.0,1.66721469026E9
589.0,299.0,1.667214690266E9
589.0,305.0,1.667214690274E9
589.0,309.0,1.6672146902810001E9
589.0,319.0,1.6672146902910001E9
589.0,322.0,1.667214690296E9
589.0,330.0,1.667214690303E9
588.0,336.0,1.667214690311E9
587.0,341.0,1.6672146903170002E9
587.0,345.0,1.667214690326E9
586.0,351.0,1.667214690334E9
585.0,355.0,1.6672146903400002E9
585.0,359.0,1.667214690348E9
585.0,365.0,1.667214690356E9
585.0,372.0,1.667214690363E9
585.0,375.0,1.667214690371E9
585.0,381.0,1.667214690379E9
585.0,387.0,1.667214690385E9
585.0,389.0,1.6672146903930001E9
585.0,395.0,1.667214690401E9
587.0,401.0,1.667214690408E9
588.0,406.0,1.6672146904160001E9
591.0,412.0,1.667214690423E9
594.0,418.0,1.6672146904390001E9
597.0,424.0,1.66721469044E9
601.0,430.0,1.667214690446E9
604.0,433.0,1.6672146904520001E9
607.0,438.0,1.667214690461E9
611.0,443.0,1.667214690469E9
616.0,445.0,1.667214690476E9
619.0,447.0,1.667214690483E9
620.0,448.0,1.667214690491E9
623.0,449.0,1.6672146904980001E9
626.0,449.0,1.667214690507E9
629.0,449.0,1.667214690512E9
632.0,449.0,1.66721469052E9
634.0,447.0,1.667214690528E9
639.0,444.0,1.667214690536E9
641.0,443.0,1.667214690543E9
645.0,439.0,1.667214690551E9
647.0,436.0,1.667214690558E9
651.0,433.0,1.6672146905670002E9
657.0,425.0,1.667214690575E9
659.0,423.0,1.667214690581E9
665.0,413.0,1.667214690588E9
667.0,409.0,1.6672146905970001E9
671.0,399.0,1.667214690602E9
674.0,389.0,1.667214690612E9
676.0,383.0,1.667214690619E9
681.0,371.0,1.667214690626E9
683.0,363.0,1.667214690636E9
685.0,355.0,1.66721469064E9
687.0,345.0,1.667214690648E9
689.0,334.0,1.6672146906560001E9
691.0,325.0,1.667214690664E9
692.0,317.0,1.667214690671E9
693.0,308.0,1.667214690678E9
695.0,295.0,1.667214690685E9
698.0,284.0,1.667214690693E9
699.0,276.0,1.667214690701E9
700.0,264.0,1.667214690708E9
702.0,254.0,1.667214690716E9
704.0,245.0,1.667214690723E9
705.0,234.0,1.66721469073E9
707.0,225.0,1.667214690739E9
708.0,219.0,1.667214690746E9
712.0,201.0,1.667214690754E9
713.0,193.0,1.667214690764E9
715.0,183.0,1.667214690767E9
716.0,173.0,1.667214690776E9
717.0,159.0,1.667214690783E9
718.0,150.0,1.6672146907910001E9
721.0,138.0,1.667214690798E9
721.0,131.0,1.667214690806E9
721.0,122.0,1.667214690813E9
721.0,115.0,1.667214690825E9
721.0,107.0,1.667214690828E9
721.0,98.0,1.667214690836E9
721.0,95.0,1.667214690843E9
721.0,88.0,1.667214690851E9
721.0,87.0,1.667214690858E9
720.0,83.0,1.667214690867E9
719.0,81.0,1.667214690874E9
719.0,79.0,1.667214690881E9
717.0,78.0,1.667214690889E9
717.0,77.0,1.6672146908960001E9
717.0,76.0,1.667214690904E9
717.0,75.0,1.667214690911E9
716.0,75.0,1.667214690925E9
716.0,75.0,1.667214690933E9
715.0,75.0,1.6672146909420002E9
715.0,75.0,1.667214690956E9
713.0,75.0,1.667214690963E9
712.0,75.0,1.667214690971E9
711.0,75.0,1.667214690979E9
711.0,75.0,1.667214690987E9
708.0,75.0,1.667214690993E9
707.0,76.0,1.667214691001E9
